code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sz.300280,2014-02-27,2013-12-31,2014-02-27,738004547.85,626093102.56,-0.202623,0.3,0.0148,-0.169816,-1.297892
sz.300281,2014-02-27,2013-12-31,2014-02-27,922341519.0,617626306.16,0.022528,9.28,0.46,0.04942,-0.006465
sz.300282,2014-02-27,2013-12-31,2014-02-27,310856952.68,282580160.77,-0.291939,-2.97,-0.12,-0.141055,-2.372104
sz.300283,2014-02-24,2013-12-31,2014-02-24,685455402.46,537212956.23,-0.402584,0.82,0.05,-0.06263400000000001,-0.949016
sz.300284,2014-02-27,2013-12-31,2014-02-27,3125249192.0,1549344549.23,0.17794200000000002,11.41,0.77,0.396156,0.401082
sz.300285,2014-02-28,2013-12-31,2014-02-28,730269488.9,648866358.17,0.102379,13.31,0.63,0.234944,0.07871
sz.300287,2014-02-28,2013-12-31,2014-02-28,1020618089.64,543989893.49,0.14815599999999998,13.49,0.55,0.304867,0.231602
sz.300288,2014-02-26,2013-12-31,2014-02-26,571856385.18,527676078.43,-0.274165,11.61,0.55,0.0035670000000000007,-0.329439
sz.300289,2014-02-27,2013-12-31,2014-02-27,1243243400.09,851069614.24,0.076373,13.65,0.72,0.083071,0.134482
sz.300290,2014-02-27,2013-12-31,2014-02-27,565504300.0,386877000.0,0.027365,14.67,0.39399999999999996,0.125302,0.013324
sz.300291,2014-02-24,2013-12-31,2014-02-24,1145647842.65,1036914846.5,0.048168,12.46,0.935,-0.039626,0.045702
sz.300292,2014-02-27,2013-12-31,2014-02-27,683458992.78,468030339.04,-0.015381,5.07,0.18,0.244551,-0.257425
sz.300293,2014-02-26,2013-12-31,2014-02-26,1720245509.96,705491302.84,0.102156,15.19,0.59,0.978684,0.42868
sz.300295,2014-02-26,2013-12-31,2014-02-26,838170947.39,735132136.29,0.245318,16.34,2.14,0.255014,0.10375
sz.300296,2014-02-27,2013-12-31,2014-02-27,1243042743.98,735836128.57,0.145278,11.51,0.53,0.365747,0.194358
sz.300297,2014-02-27,2013-12-31,2014-02-27,1092671087.56,680730468.59,-0.134762,4.74,0.16,0.146519,-0.6690229999999999
sz.300298,2014-02-27,2013-12-31,2014-02-27,1048630275.99,971412469.97,0.278622,18.73,1.25,0.0,0.211736
sz.300299,2014-02-27,2013-12-31,2014-02-27,459252057.96,394411747.75,-0.053768,3.25,0.11,0.29882600000000004,-0.15934600000000002
sz.300300,2014-02-25,2013-12-31,2014-02-25,1004877973.01,636501810.71,0.023691,9.86,0.3142,0.212967,0.040525
sz.300301,2014-02-28,2013-12-31,2014-02-28,1313589404.29,759275570.55,-0.066938,3.99,0.1083,0.418733,-0.57515
